frame,normal_sep_y_A,shear_slip_x_A
0,10.20609731044172,0.0
1,11.243983287519086,-0.03708108724575254
2,11.259322499586034,0.5449263439336391
3,11.056373667180196,0.05705360781428226
4,10.91630580872669,0.06054233696275446
5,11.039995901648865,0.14883565588317538
6,11.16426545002247,0.4662496977480828
7,11.095199411816793,0.6943328381095455
8,10.885695264326188,0.7469290576405001
9,10.775490340915894,0.8657208330996014
10,10.82950080253255,1.343874066121714
11,10.663663011992242,1.9304522270148254
12,10.885009639396742,1.925886450041702
13,10.884054384206934,2.213002199178419
14,11.30620912031381,2.3705476505423917
15,11.035970157371509,2.5581781236300856
16,10.956717584561204,3.1167974109593786
17,11.151090883132014,3.7497148133018072
18,10.957168139196312,4.112933269270968
19,11.147206673610015,4.452612026872458
20,10.94845790873373,4.757103319011833
21,11.329068319710245,5.281106213909027
22,11.0581113164574,5.8613532460533975
23,10.675487556417181,6.578504905211901
24,10.98115212854836,6.5400822768518765
25,11.556611891568537,7.854847556767936
26,10.92847523857506,7.805493865991195
27,11.0943556657719,8.476027924798302
28,11.469383435590402,9.065544685161399
29,11.171279224382545,8.989573664427894
30,11.15443023147256,9.406220188685381
31,11.16987761503185,9.936094397681842
32,11.189328423247616,10.247860867131678
33,10.911943798866787,10.749370762003707
34,10.800721751802087,10.461923975380131
35,11.167135642614141,11.51678210954094
36,11.197054772728734,11.821074424525193
37,11.39523726130551,11.929111264542001
38,11.027980278945137,11.981400339721517
39,11.005844865207564,12.612367816189263
40,11.170735015745947,12.53285767567479
41,11.076120864788919,12.889098764383874
42,11.821738226308156,13.262499906622267
43,11.334474325317217,13.38511106667977
44,11.231874484549508,13.779981982848895
45,11.374512435507313,13.94110598948808
46,11.2377761710419,14.275688483897369
47,11.312491230686078,14.415554474249106
48,10.99415884074773,14.32559180324374
49,11.164806996446998,14.434353536257191
50,11.391754257683715,14.99613218213392
51,10.926001337141145,15.247852332243994
52,11.38239525341291,15.278708775158691
53,11.39501565257612,15.16065565133303
54,10.884241385889538,15.647909496586323
55,10.77105180291008,16.07838198561528
56,10.96659299576666,16.410264011114236
57,10.878246213087607,16.326519218964464
58,10.80631785949177,16.63486214069286
59,10.906472037677645,17.13981581034801
60,10.941335400713399,17.647678847745496
61,10.895119387162083,17.751625994324627
62,10.704552565363286,18.608467525141947
63,10.251034565445167,18.03638218736323
64,11.099937721203844,18.873504721408267
65,10.989214340762402,19.167063636406198
66,11.1648389613826,19.12928271550784
67,11.327056480158888,19.619412946752973
68,10.69118367956952,20.062880270624674
69,10.680265239180216,20.99669794235089
70,10.811232988917368,20.966915468149708
71,10.923067918748472,21.725151075332974
72,11.031850537316416,22.339207700089176
73,11.13659301871337,22.242579349256943
74,10.97937147555092,23.136743649651265
75,11.045908746253588,22.675713506925916
76,10.92703897373329,23.428393970493318
77,11.275648021420693,23.38455723626049
78,11.228875883266369,24.16103069224458
79,10.691404670539953,24.084405633397395
80,11.33280341689425,24.6020487176839
81,11.160855425103051,24.598056000419348
82,11.162525604166547,25.40217651422587
83,11.306780505271263,25.822033483681025
84,11.473181699287068,25.9682687319426
85,11.202967410159204,26.33373900347155
86,11.217283662956419,26.642669617932057
87,10.943931966235908,26.602370027883637
88,11.108507721071476,27.140439200025256
89,11.086536760122925,27.211064518210975
90,11.31301368789542,27.287660513421002
91,11.255897533296888,27.821461810503266
92,10.930994690942782,27.903259623871946
93,11.492093272679256,28.17167411043441
94,11.276543485981705,28.283750673758377
95,11.203240641474054,28.72884840205785
96,11.149252014789568,29.244585362632392
97,11.057560217234027,29.029889127294638
98,10.850791340997546,29.54656257312692
99,11.073840504995303,29.39911684589579
100,10.781768196700455,29.96713483430041
101,10.84751847029446,30.053758449755236
102,11.05307827428112,30.67105020679422
103,10.935151490991302,30.814844865675994
104,10.936801866454914,31.033857595231467
105,10.945026572652807,31.34335744447256
106,10.805104613398214,31.500096550295993
107,10.900075907557266,32.260115552713756
108,10.906720316589428,32.492565621329874
109,10.740811600666348,32.011069707553915
110,11.036331480770428,33.41033284213606
111,11.15693630975872,33.518361622422404
112,11.324232865616068,33.33164777482254
113,10.747213845087686,34.2060925261965
114,10.995133900360486,34.493543336233145
115,10.906826870593477,34.909547972883416
116,11.305938360270488,35.5160635491567
117,10.864343839067402,35.89571566491702
118,11.09260055685661,36.498644708182525
119,10.639415225937285,36.44334386186402
120,11.025086481353583,37.19357517351824
121,10.823709118453507,37.19207361094878
122,11.333219879827027,38.152848707053536
123,10.841276753774821,38.1947754864444
124,11.12050462202177,38.194197606788435
125,11.073333964289702,38.714252472047704
126,10.968645827495322,38.58893668862727
127,10.624427601050627,39.03605925422811
128,11.055271565668534,39.38505473203881
129,11.103914805975705,39.96287151277242
130,11.168493921321215,40.13903106931522
131,10.985627021416178,40.41805347314542
132,10.7204991289168,40.08125063895629
133,11.0234913953621,41.14391321564895
134,10.918949520293495,41.11602800369853
135,11.224685304040236,41.001025434760436
136,11.059444631394967,41.09600535504937
137,10.909652155428773,41.65848461753848
138,10.794431155107588,41.798709075777666
139,10.866979580542193,42.31745237580097
140,11.176385953332385,42.77776487933791
141,11.143172982443616,42.826769734033164
142,11.149349005688038,43.00894972352749
143,11.143827933724538,43.9770800706999
144,11.03638289099294,43.77290307103
145,10.853368783278654,43.76810954584856
