Eng_strain True_strain S11 S22 S33 S12 S13 S23
0.032 0.0329219775087729 -0.559411455420037 -0.0388611349592021 -0.635538912770127 0.0193926756972441 0.0198762418777689 -0.0154557923383685
0.034 0.0349751085152031 -0.483826214874055 -0.0334542470162342 -0.641178016065896 0.020845481207527 0.0111771129422869 0.00888562226230939
0.036 0.0370320158123772 -0.551283727104803 -0.0353122290134468 -0.618193098401385 -0.000653031902810561 0.000748553157423857 -0.00805297442220988
0.038 0.0390874991363426 -0.504711955040546 -0.0750658382493265 -0.575232638390225 0.0408716059525531 -0.00809081118559701 0.0230250531728367
0.04 0.0411422375293392 -0.499001282110326 0.00312010052215998 -0.60940680778504 0.0193303919069387 0.00986511476723531 0.0128908488543982
0.042 0.0431913913948252 -0.565734424668849 -0.123146912857877 -0.601173397416754 -0.00403380216224353 0.0160159673080869 0.00435450231287752
0.044 0.0452561719777432 -0.46043215021912 -0.00539180775681437 -0.572173981847062 0.00339254212473803 0.00921428096550282 0.0373079344565067
0.046 0.0473045005929472 -0.49879353373635 -0.0407823336781995 -0.629929788585312 0.021700156445656 0.00438072012974415 0.00573062023284252
0.048 0.0493596757711724 -0.457560341342455 0.00520936243123299 -0.596709771602141 -0.0104900264710039 0.000849681358122192 0.0154823907913153
0.05 0.0514126843461959 -0.484933423044536 -0.0313685573491351 -0.591612009721098 -0.00775111608726227 0.0135058344700927 0.0186153184845872
0.052 0.0534626381272062 -0.469888522851161 0.0226952561581708 -0.574678696937461 0.018670302626911 0.0142857695272092 0.00924795183266161
0.054 0.055511294154897 -0.508380585667379 -0.00914599348356398 -0.635712317703358 -0.00166309261005466 0.0205828094471984 -0.00885140406936913
0.056 0.0575682121160897 -0.42796646243203 -0.0104922656763984 -0.538526778982334 -0.00163150007032604 -0.00335204046505836 0.0173031023553383
0.058 0.0596194581458512 -0.481940052577435 -0.0138239389372508 -0.542204673864827 -0.00126644487121309 -0.00386182569058802 0.00321910777335453
0.06 0.0616725993755478 -0.466344340184119 -0.0310110918110988 -0.646532931592689 0.0158247807229252 0.00861733286394988 -0.00251486252779611
0.062 0.0637147005995835 -0.464895623031446 -0.0104592496126662 -0.61137284043491 0.0204477251264848 0.0425423759423621 -0.00766507742218203
0.064 0.0657742191955625 -0.500157574438745 -0.0210470573786356 -0.571355540142417 -0.00305353812719929 0.00842459109614885 -0.00918447328534397
0.066 0.0678131316067835 -0.455412331596616 -0.00570179520526732 -0.521137299785947 -0.0318231753382731 0.0167737101981014 -0.0280735255685767
0.068 0.0698684853343806 -0.416035769446511 0.0242918572359898 -0.568780810538286 -0.00739997737703335 -0.0351136369875929 0.012337765059995
0.07 0.0719093356603819 -0.470623144842041 -0.0259118948088052 -0.547970432639499 -0.039341596789911 -0.0187174962538949 -0.0130153183860625
0.072 0.0739627089998214 -0.45144231381995 -0.00441469127393042 -0.567731712811595 -0.0471532665254337 -0.0291159659958742 -0.0100856487038141
0.074 0.0760005367605163 -0.443248071525292 0.0417350156542302 -0.564131056335867 -0.0307085004644461 -0.0259519270907336 0.00825019281005016
0.076 0.0780572628425216 -0.4353239671116 -0.0282832762632963 -0.528761886828661 -0.0460029888518286 0.00153913529542549 -0.0234947366275036
0.078 0.0800918754938603 -0.445847245674927 0.0225201082215631 -0.550200258754679 -0.068575805055913 0.0226671714580464 0.000607949795565427
0.08 0.0821394325521271 -0.487114634504579 0.0479030590454384 -0.566833662931356 -0.0379343774814351 0.0107743545381832 0.00575485461727767
0.082 0.0841915663289155 -0.484469599786832 -0.0113807075483087 -0.566978496983805 -0.0415932212608951 -0.0245306814373519 0.0145569194638322
0.084 0.0862214725650655 -0.510706234978187 -0.0263124957666273 -0.604760081275242 -0.0359478801777683 0.000869206967545489 0.00476304949808503
0.086 0.0882701981527488 -0.444362931714846 0.0197749697857786 -0.524701815135712 -0.0660476563626363 0.0430420398631379 0.010303670631476
0.088 0.0903115780449099 -0.484846970570212 -0.0127329507530576 -0.604391701624352 -0.0699612448939314 0.00408954131689961 0.00606670388678558
0.09 0.092353255931999 -0.446062594474714 -0.0373905859796059 -0.596302972699327 -0.0842034320212985 -0.00785130104922239 0.0240391558255977
0.092 0.0943876097257965 -0.457516118760914 0.0120336634846622 -0.546553459904599 -0.0665515718566831 0.0254588728507053 -0.00737114243452083
0.094 0.0964270260554752 -0.433010628448922 -0.0194408667258228 -0.55911667674962 -0.0772914468883852 0.00732659829030813 0.0311577769083817
0.096 0.0984724968636995 -0.481007802672695 0.000438498050478144 -0.601701010994949 -0.0407484827237718 -0.0196278821719049 -0.00663977519594313
0.098 0.100505032390427 -0.500166042220171 -0.0435420000883982 -0.623041319677792 -0.0754178667412772 0.00653945988310416 0.0172744970106255
0.1 0.102528241640941 -0.466460609785035 -0.0294703389297616 -0.545900412931632 -0.0397751950482045 0.00553889606572846 0.0176841925696632
0.102 0.104579534012456 -0.522013787290546 -0.0168156243795596 -0.68534958601765 -0.0173179412407405 0.0258324914538947 -0.0107692069679288
0.104 0.106613611131227 -0.4006290113839 0.0217260845193485 -0.584177880250459 -0.0747122200088971 0.0309086161673787 -0.00213486396642158
0.106 0.108641508204886 -0.465804124520452 -0.0319103415969793 -0.530773853270827 -0.021479234220672 0.0120101884625539 0.0102374808430815
0.108 0.110684933129205 -0.414800794061681 -0.0324309982991645 -0.588360341399407 -0.033022239731119 0.0391757748185208 0.000894261172963774
0.11 0.112694672856124 -0.462436897705479 -0.00860224924975969 -0.613076981308581 -0.0329911946778121 0.0148058518346909 -0.0241111899755918
0.112 0.114749034012981 -0.491178374135108 -0.0953240212762924 -0.60862093740507 -0.040930514669401 -0.00638122059418127 0.0488646808647731
0.114 0.116777014092499 -0.527453795812284 -0.0587492716688567 -0.598015530612083 0.00263121006397846 -0.00488367007292815 0.0220619108003419
0.116 0.118809158053293 -0.485751076395351 -0.0371520412842419 -0.560249796854439 -0.00122479879467034 0.0107926630335287 0.000525601749838189
0.118 0.120841941767893 -0.526368703078293 -0.0602928653085696 -0.613614706008397 -0.0518990072333339 0.0205574215507809 -0.0169397106012419
0.12 0.122871687415926 -0.519382328576611 -0.0385909566421161 -0.651184170104606 0.0113042601311935 -0.0089947808680103 -0.0047260605959746
0.122 0.124907302397921 -0.436182802019476 -0.0556227537232734 -0.593949591145473 0.0188535961809372 0.00331620066107257 -0.00674757543800531
0.124 0.126909926130699 -0.520744641920061 -0.0223234889872857 -0.57349568108695 0.0230267848428908 0.0178699480528436 -0.00918036203850738
0.126 0.12894712507268 -0.528078363523722 -0.100622617896269 -0.611570113573397 0.0155612262020896 0.00222709025557819 0.0186461222660151
0.128 0.130983122919925 -0.48544028874845 -0.0510387901415574 -0.574496080060797 -0.0280302794496946 0.0129188831279171 -0.0121661781719327
0.13 0.132985373440806 -0.52234549408654 -0.0247703877527562 -0.601461194220328 -0.00623626043526935 0.00934380856970841 -0.0104777506612597
0.132 0.135017734329409 -0.526838981397857 -0.0419971995194597 -0.605000385975849 0.000535646084190905 -0.000612603323518569 0.0119053779251721
0.134 0.13703925303736 -0.480542366623963 -0.00445118751450337 -0.555906363067274 -0.0321556763552203 -0.0262481148660512 -0.0221395176134003
0.136 0.139049260858337 -0.481619019014371 0.0377895219786366 -0.580719684004349 0.0135216362645949 0.0279283350285956 0.0305694496438129
0.138 0.141074953901665 -0.454642625130354 0.0223278438587657 -0.593702641168498 -0.0211163215079005 -0.0251051426460241 0.0108810651528705
0.14 0.143091872780336 -0.467059187733131 -0.00735905854100383 -0.531924205149397 -0.00287614912333482 -0.006565575758248 0.0303332209609183
0.142 0.145104852434989 -0.423841692632515 0.0211975001327694 -0.575607326701195 0.00315953116030369 0.0278469355662202 0.0301409716641247
0.144 0.147126988232724 -0.511596346830927 -0.0223139489758346 -0.577980445676213 0.0200124753249048 0.0178908100937261 -0.0224434159277708
0.146 0.149154535950033 -0.484807026558986 -0.0399635353891364 -0.624259231241193 -0.0160908402958015 -0.00607879700507345 -0.00460664995677203
0.148 0.151143375430521 -0.453728315335174 -0.0190497365026069 -0.594241654580714 -0.00423259268273495 0.0119076512548571 0.0136687231283239
0.15 0.153143164736254 -0.508351619178809 -0.010774530148921 -0.612338640475533 0.00376705593399211 0.0118259374059037 -0.000719556119304484
0.152 0.155177035089005 -0.430655880887807 -0.00571757626927903 -0.585596494294645 -0.00304352225256041 0.0427555994599293 -0.00114842384226772
0.154 0.157167588955855 -0.444163840230728 0.0483868617574361 -0.54832805434169 -0.00415844769063887 0.00813459291430226 0.0114478828057951
0.156 0.159176335784985 -0.470217008569647 -0.0234042124893628 -0.586672903020091 0.0360570162264487 0.00892017653217645 -0.00470243448606552
0.158 0.161201784625075 -0.471030415830635 -0.0312528841752617 -0.568110308449479 -0.044569430986974 -0.0222760592569703 0.00872282894421727
0.16 0.163166673141015 -0.450798846136399 -0.0251125266710724 -0.597270040093875 -0.00359135942025883 -0.0248750343100884 0.00243489904709869
0.162 0.165194065816877 -0.452349694588482 0.0450012614008786 -0.599009891115851 -0.0260828555451831 0.00655771156971458 -0.00525073301274418
0.164 0.167207391382272 -0.494202835470853 -0.0133068360654533 -0.547613490903621 0.00978945775531442 -0.0323998577175282 -0.0401348822798603
0.166 0.169172560516709 -0.497973335703933 -0.0148144948107246 -0.62630371732827 -0.0115087305021513 -0.00367676360073435 0.0100544018040299
0.168 0.171179912814954 -0.490845168635793 0.0252477045877205 -0.5951222132458 -0.00273787114338832 -0.0081522253370633 0.0265847250081294
0.17 0.173185459774699 -0.514879588084014 0.0389893759453252 -0.576405423395742 -0.0242222783120879 0.0295082088582238 -0.00205186341238255
0.172 0.175196868602458 -0.498835732188221 -0.0415461460966108 -0.606169624158719 0.0183789899866175 0.0299830289637761 0.00890854437552914
0.174 0.177160591284872 -0.471959034825852 -0.0214481066326794 -0.582797894373686 -0.0226251130117549 0.0154051966908186 -0.0037712234789813
0.176 0.179178365153574 -0.449881596698266 0.0029666800592629 -0.56700233876735 -0.0153711338206306 0.0100617235256098 0.0188062494412967
0.178 0.181171478226819 -0.505991203444207 -0.0862987881097336 -0.618867562265016 -0.0256132074418061 0.0293955408078362 0.0281726256648418
0.18 0.183136428626614 -0.460227635967771 0.0186813360091469 -0.544828734233825 -0.0420580778777588 -0.00288584415179365 -0.0355940938103125
0.182 0.185152434888289 -0.459450977158889 0.00614875074020449 -0.576575987414383 -0.00656223511453421 0.0132456914772858 -0.0145960848843158
0.184 0.187145512887437 -0.448181098525936 0.0141469113290385 -0.560648915851406 -0.0425562604682799 0.0351559363958123 0.01232141047013
0.186 0.189091075432315 -0.454711132159763 0.0277976632301316 -0.585883545166252 -0.0481588515339328 0.0188643687187399 0.034716016647042
0.188 0.191109346677031 -0.480958503246895 -0.0420937063799848 -0.58207771502063 -0.0303605867979225 0.00540669827128185 -0.00357771584075236
0.19 0.193109807417031 -0.494826289046199 0.0262877465782919 -0.55620738039992 -0.0424839209267071 0.00685323883042741 -0.00554324259780218
0.192 0.195050565095226 -0.439928530568316 -0.0659251338333248 -0.55592220918554 -0.033001987320318 0.0309127965562444 0.00347598886431846
0.194 0.197053609819651 -0.482736790196254 0.0240941088385091 -0.572537603024953 -0.0228906877405115 0.0446195539147997 -0.0274837396931076
0.196 0.199040671416546 -0.467916157095395 -0.0191830367340053 -0.634863214584037 -0.061618368165447 0.0141056394826716 -0.00774778376405403
0.198 0.200978411753863 -0.436869487958243 -0.0060070806070443 -0.576480004830033 -0.00298349316479829 0.0354643731537621 0.00770175584450171
0.2 0.202972642592995 -0.482956612297149 -0.0607744149274254 -0.588624725219069 -0.0160688543265997 0.0255849139123155 -0.0208052557997939
0.202 0.204954563430761 -0.50790478441471 -0.120702820070788 -0.644270602165171 -0.0259917488779038 0.00190070213012313 0.00662167149777146
0.204 0.206913994503776 -0.517201493962415 0.00597735213504567 -0.571857049788434 -0.0458194915106549 0.0200141603985217 -0.00550582448247384
0.206 0.208877376518685 -0.50407017958574 -0.0287258639717998 -0.640381290948428 -0.0303771151165422 -0.0149829941428248 -0.00621403973578711
0.208 0.210887718669271 -0.473903647767877 -0.0234250416738458 -0.618935907591699 -0.00238249422856812 -0.0042384321449452 0.0238966777099127
0.21 0.212830197382004 -0.537144865309228 -0.069910592446176 -0.632051965490396 -0.0259772858049156 -0.0407522368066587 -0.0171373755885595
0.212 0.21478600553347 -0.485758592080126 -0.0376627579501856 -0.563122795649054 -0.000360792747398779 -0.0225777796462301 -0.0010349943083609
0.214 0.216762387375466 -0.519236512413242 -0.0519258356998382 -0.583394927244434 -0.0302946554002013 -0.00393971537641412 -0.00382307350387757
0.216 0.218711584588214 -0.51230765137779 0.00333438424409959 -0.580671887636784 -0.0478283841680572 0.00619436756154833 0.0167967487471672
0.218 0.220685236483858 -0.492660267766313 0.0308648492879309 -0.603601237076229 -0.0339732965317658 -0.020150329038237 -0.0047218632190214
0.22 0.222652132340742 -0.468037483345146 0.0168566256246464 -0.634081576603998 -0.0154909070840406 -0.00109812276393629 -0.017649113543254
0.222 0.224581043740031 -0.475486142160889 -0.0104593137953915 -0.598145893833726 0.016142679801336 0.00323791796504896 0.0244047422025976
0.224 0.226555801468491 -0.514622589780361 0.0281222158804111 -0.57273996857473 -0.0202564728482566 0.00188454853991586 -0.00655934630141853
0.226 0.228514973058258 -0.54240347369472 -0.0413506338627676 -0.620223979403857 -0.0285550847537633 -0.00396194437723074 -0.0127683264042641
0.228 0.230442431184333 -0.500739611847749 -0.0577372182658144 -0.615069272531902 -0.0283116998470951 -0.0140343433121099 -0.00832678279764871
0.23 0.23244852391493 -0.496449651521271 -0.0191558119813396 -0.57491709621442 -0.0164930854441806 0.0103663152524704 -0.0106301479979204
0.232 0.23435856641963 -0.491839378033561 -0.0205081970667587 -0.579779893090746 -0.0329060272932787 -0.0216834279969887 0.0247816517197317
0.234 0.236298412126916 -0.445174658394911 -0.0062824935466793 -0.599778249941555 -0.0303174986245094 -0.00792204767124083 0.0176721635981716
0.236 0.238261977827518 -0.453359768198159 -0.00111278865099607 -0.616244152589228 0.0250174306859567 0.0302281382000253 0.00374531661059432
0.238 0.240173155144869 -0.481816719708041 -0.019390581830748 -0.570200062603272 -0.017059843528008 0.00362904504592124 0.0135404423886647
0.24 0.242163863826182 -0.575321967016774 -0.0453573854879799 -0.632977782078086 -0.0571278950990411 0.0353538249159484 -0.0096182894851418
0.242 0.244054096024111 -0.446117030753206 -0.0200598668891864 -0.611442141432786 -0.0464236411435509 0.0233397480318126 -0.00153964201016894
0.244 0.245996203922875 -0.468278018557651 0.040175224183264 -0.574489214784562 -0.0177655663145007 0.0275923334441268 -0.0119997591112218
0.246 0.247983923530711 -0.508481559098993 0.0131742061869 -0.555766585407482 -0.035387057325514 -0.0116121158994088 -0.000744370820810732
0.248 0.249865453559786 -0.495277340083526 -0.0463526072070764 -0.598983985822494 -0.0312300798627779 0.000242568386820029 0.00723929508751641
0.25 0.251806832616136 -0.517582990217018 -0.031611147944725 -0.592487172764406 -0.0522091382280588 0.0280946619702772 0.0170736472945073
0.252 0.253743478449932 -0.467515338173428 0.00140343127998568 -0.565290365709833 0.0139763448063059 0.0232585309209436 -0.00793130311838502
0.254 0.25563009358506 -0.485487726023434 0.0254168160719578 -0.570055110957279 -0.015804850774268 -0.0193625664618799 0.0376299211329312
0.256 0.257616408109059 -0.517352712224563 0.0199362485303308 -0.556776377335952 -0.0568629098020763 0.0243459251437017 0.00997982462754975
0.258 0.2595102464808 -0.488275831944983 -0.0697545932300401 -0.610342013916385 -0.0314913749003609 0.0368343302501907 -0.0215387807858766
0.26 0.26144237181887 -0.482373162367765 -0.0313204924911141 -0.637277921477246 -0.0322563844859373 0.0333175103878692 -0.0296755530970333
0.262 0.263350191617735 -0.515479036611485 -0.0571693311989545 -0.631077267570504 -0.00422244455694535 0.0143491038214212 0.00849023519724237
0.264 0.265271598435903 -0.473160361187155 -0.0363298778781763 -0.597408369453077 -0.053379580673219 -0.0147723890751166 0.0240167229023661
0.266 0.267173228244531 -0.479642937937583 0.0429104675446682 -0.562686831466688 -0.034909491330631 -0.00718653364055145 -0.00478187090209983
0.268 0.26908018180567 -0.533660795740607 0.0152738317219258 -0.630056124366474 -0.0373394194509472 -0.0380516541096305 -0.0348665070833078
0.27 0.271029780341524 -0.484037506104417 0.00441883310207105 -0.582115097583403 -0.0720310057797479 0.00668607882841922 -0.00952327892999497
0.272 0.272904505943074 -0.498374294549764 -0.0371376897988448 -0.552094249478795 -0.0357792233504505 -0.0106937281829495 -7.51614954722102e-05
0.274 0.27482471353079 -0.458810715771142 -0.0231381830286092 -0.595470081188316 -0.0186449462715977 0.00170313268873748 0.0163092066003023
0.276 0.276705658694198 -0.519811522177183 -0.0368149908076534 -0.603887960447383 -0.0590473727169322 0.0102165043169905 0.00193641318764516
0.278 0.27864131179876 -0.484120690648651 -0.0219662386448927 -0.536742154646886 -0.038800466369794 0.0177222698874448 -0.0505829267788288
0.28 0.280553746822495 -0.50064336424054 -0.0156477791155277 -0.599449057006148 -0.0615339602780972 0.0243764817677885 0.0220262694450636
0.282 0.28239652792808 -0.44144998122066 -0.0293960485768724 -0.556718861815662 -0.017790647882167 -0.00213639664040629 0.000985272040382008
0.284 0.284310275051027 -0.490546862672284 -0.0118016571283476 -0.565804469751318 -0.0394940237504373 -0.00102631162036085 -0.012827578850746
0.286 0.286243636758595 -0.486563571986864 0.000752695847443646 -0.612313588192035 -0.0407183438843195 0.000852092197667122 0.00475682150314634
0.288 0.288093466938723 -0.490036740219784 0.02028953633277 -0.631893561890605 0.00281755222657199 0.00592499589926422 0.0381565218652886
0.29 0.290029930334276 -0.456621927058339 0.0446535801731333 -0.587016305905625 -0.0300794879100691 0.0140642519927401 -0.0189357897341491
